待售房屋,室,厅,卫,面积,朝向,楼层,建筑年份,小区名称,区,镇,道路,标签,总价,均价
金隅悦城品香苑 南北通透 电梯房 简单装修 看房方便,2室,2厅,1卫,90.64,南北,高层(共16层),2013年建造,金隅悦城品香苑,东丽,张贵庄街,惠山道,南北 有电梯 近地铁 绿化率高 ,138,15226
中山门东里  左厨右卫户型 小区中间位置 首付25万起,2室,1厅,1卫,63,南,中层(共7层),1998年建造,中山门东里,河东,中山门,广宁路,南 满五年 近地铁 ,116,18413
万科东第 双阳两室价格可议采光充足,2室,2厅,1卫,86.35,南,高层(共29层),2019年建造,万科东第,西青,李七庄,昌凌路 近淄环路,南 近地铁 车位充足 户型方正 ,180,20846
杨村街 次新房 满二 正规商品房 南北通透 车位充足 小三居,3室,2厅,1卫,94,南北,低层(共11层),2022年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,131,13937
香雍玖和 低密度社区 高楼层视野无遮挡 正南朝向 停车方便,3室,2厅,1卫,100,南,高层(共24层),2022年建造,香雍玖和,武清,杨村街,光明道 近新兴路,南 满二年 绿化率高 多人关注 ,125,12500
急售~110~11中13小 新城悦隽央著 洋房好楼层 送车位,2室,2厅,1卫,86.49,南北,低层(共11层),2021年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,120,13875
新城悦隽央著 南北通透 次新房 商品住宅 大两房 停车方便,2室,2厅,1卫,89.53,南北,低层(共6层),2022年建造,新城悦隽央著,武清,杨村街,新安路,南北 满二年 车位充足 ,130,14521
翠景园(武清) 正南朝向 产权清晰 小三房 高楼层采光充足,3室,2厅,1卫,108.6,南,共5层,2008年建造,翠景园(武清),武清,杨村街,泉达路,南 满二年 ,143,13168
杨村街 刚需两居 高楼层采光充足 装修好 电梯房 满五,2室,2厅,1卫,100.8,南北,高层(共24层),2009年建造,北岸尚城,武清,杨村街,翠通路 近强国道,南北 满五年 ,120,11905
宝龙城北苑 刚需小三居 房龄新 精装好房 满五 集中供暖,3室,2厅,1卫,88.9,南北,低层(共11层),2017年建造,宝龙城北苑,滨海新区,中新生态城,海晨道,南北 满五年 户型方正 ,111,12486
盛庭名景 新上精装修两室 银角 紧邻地铁 诚意出售 随时看房,2室,2厅,1卫,92,南北,高层(共22层),2019年建造,盛庭名景花园,北辰,瑞景街,辰景路 近新园路,南北 满二年 近地铁 次新房 ,146,15870
经纬城市绿洲学知华庭 房龄新 南北通透 带电梯,4室,2厅,2卫,105.48,南北,高层(共31层),2018年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南北 满五年 车位充足 ,130,12325
紧邻地铁 香雪苑通透两室 旁边商业餐饮一应俱全,2室,2厅,1卫,96.4,南北,低层(共28层),2012年建造,香雪苑,津南,双港,景荷道,南北 满五年 近地铁 ,125,12967
全天阳光 采光好 看 房子价格好谈 有钥匙！,2室,2厅,1卫,99.45,南北,低层(共16层),2008年建造,福渔园,大港,古林街,海景十路,南北 满五年 车位充足 ,119,11966
降价20万！！11 中经纬二期85万新装修出门  菜市场靠谱,2室,2厅,1卫,83.99,南北,低层(共18层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南北 车位充足 多人关注 ,86,10240
业主急售海清园精装修两室低楼层适合老人居住,2室,2厅,1卫,91,南北,低层(共11层),2018年建造,海清园,大港,古林街,海景六路,南北 满二年 ,119.7,13154
134万 通达新苑三室 看房方便 业主诚意出售,3室,1厅,1卫,94.2,南,低层(共28层),2000年建造,通达新苑,河北,江都路街,革新道4号,南 满五年 近地铁 多人关注 ,134,14226
满五   南北通透 2室2厅 精装修,2室,2厅,1卫,101,南北,低层(共15层),2012年建造,美林园,滨海新区,中新生态城,中天大道2377号,南北 满五年 ,139,13763
正南朝向 带电梯 精装可拎包入住 大两房 小区新 满五  ,2室,2厅,1卫,99.08,南,中层(共33层),2017年建造,首创城星景苑,津南,辛庄,鑫怡路,南 满五年 ,115,11607
泽信公园御府 小三居 正南朝向 次新房 停车方便 有电梯,3室,1厅,1卫,88.33,南,中层(共18层),2022年建造,泽信公园御府,北辰,青光,辰柳路 近新致道,南 有电梯 车位充足 ,130,14718
丽悦园 金角户型 无遮挡 诚意卖 价格可议,2室,1厅,1卫,95.31,南北,低层(共11层),2015年建造,金隅悦城丽悦园,东丽,张贵庄街,跃进路,南北 近地铁 ,135,14165
河东 2000年商品房  可改三室 看房方便 无个税,2室,2厅,1卫,95.51,南北,高层(共6层),2003年建造,大众家园,河东,常州道,真理道,南北 满五年 近地铁 多人关注 ,130,13612
香雪苑装修没住过 采光充足 南北通透 有电梯  近地铁,2室,2厅,1卫,96.75,南,高层(共22层),2013年建造,香雪苑,津南,双港,景荷道,南 满五年 近地铁 ,134.8,13933
秀悦园 银角南北通透三室户型 中间楼层采光好,2室,2厅,1卫,94.63,南北,高层(共10层),2011年建造,金隅悦城秀悦园,东丽,张贵庄街,跃进路,南北 近地铁 ,136,14372
宝龙城 三室满五   有车位 楼层好 位置好,3室,2厅,1卫,89.48,南北,高层(共11层),2017年建造,宝龙城北苑,滨海新区,中新生态城,海晨道,南北 满五年 ,115,12853
超低密度 大两房 产权清晰 南北通透 楼层好 满二,2室,2厅,1卫,114,南北,共5层,2009年建造,北岸尚城,武清,杨村街,翠通路 近强国道,南北 满二年 ,132,11579
有电梯 刚需小三居 满二 房龄新 精装好房 高楼层视野无遮挡,3室,2厅,1卫,105.48,南,高层(共34层),2016年建造,经纬城市绿洲学知华庭,武清,杨村街,雍和道 近新开路,南 满二年 车位充足 ,132,12515
融创半湾半岛 中间楼层 满五 电梯房 楼龄新 精装可拎包入住,3室,2厅,2卫,117.17,南北,中层(共31层),2017年建造,融创半湾半岛,北辰,双街镇,双进道,南北 热门小区 价格优惠 房东急售 ,130,11095
融泰城 临地铁 双卫格局 南北通透 交通便捷 带电梯,3室,2厅,2卫,104,南北,低层(共27层),2016年建造,融泰城,西青,李七庄,秀川路215号,南北 满五年 户型方正 ,149,14327
次新房 景瑞陆号 精装三室 所见即所得 价可谈 车位,3室,2厅,1卫,89,南北,低层(共7层),2020年建造,景瑞塘沽湾陆号,滨海新区,滨海城区,国兴路,南北 满二年 车位充足 ,113,12697
碧水庄园 南北通透 中间好楼层 大两房 满五 临地铁,2室,2厅,1卫,101,南北,共5层,2003年建造,碧水庄园,塘沽,西大沽街,安阳道 近迎宾大道,南北 满五年 ,116,11486
中心商务区    中国塘精装修两室     便宜好房,2室,1厅,1卫,88.62,南,高层(共24层),2015年建造,中国塘,塘沽,新港街,洞庭路 近上海道,南 满五年 ,168,18958
东城商圈中心 电梯房 满五   标准H户型急售可大议！,2室,2厅,1卫,99.45,南,低层(共16层),2010年建造,福渔园,大港,古林街,海景十路,南 满五年 车位充足 ,124,12469
工农村 津湖湾 三居室 精装修 南北通透 93平,3室,2厅,1卫,94,南北,高层(共11层),2017年建造,中海津湖湾,塘沽,工农村街,尧山道 近威海路,南北 满五年 ,125,13298
紫罗园 南北通透 两室两厅 出售中,2室,2厅,1卫,104.29,南北,共5层,2010年建造,紫罗园,北辰,集贤里,高峰路 近延吉道,南北 满五年 ,120,11507
精装修的房子 看房有钥匙。,2室,2厅,1卫,91,南,低层(共24层),2013年建造,溪水湾花园,东丽,金钟街,满江道,南 满五年 ,146,16044
商圈成熟 出行方便 近医院 双卫 近地铁 高绿化,3室,2厅,2卫,147.5,南,中层(共28层),2010年建造,蓝岸森林,北辰,北仓,京津路1号,南 唯一住房 绿化率高 ,148,10034
二中四小  好楼层  拎包入住 随时过户 120W,2室,2厅,1卫,85.21,南北,低层(共27层),2015年建造,泰悦欣园,静海,静海镇,静文路,南北 满五年 ,120,14083
杨村街 满五   有电梯 装修好 朝南 刚需小三居 房龄新,3室,2厅,1卫,90.44,南,低层(共32层),2016年建造,富力尚悦居,武清,杨村街,雍和道 近与翠通路,南 满五年 ,129,14264
模范！129！可议满五   裕华园2室1厅1卫102平,2室,1厅,1卫,102.23,北,低层(共26层),2018年建造,裕华园,静海,静海镇,瑞和道,北 VIP房东直卖 满五年 ,129,12619
金银里急售！精装H户型 楼层好采光好 交通方便,2室,1厅,1卫,95.11,南北,中层(共6层),2006年建造,金银里,东丽,新立镇,幸福路30号,南北 VIP房东直卖 满五年 近地铁 ,113,11881
业主降价急售新城悦隽央著三居 紧邻十三小十一中 武清城际,3室,2厅,2卫,107,南北,高层(共7层),2022年建造,新城悦隽央著,武清,杨村街,新安路,南北 车位充足 ,150,14019
（新上架）贻成豪庭 南北通透 正规H户型 明厨明卫 精装婚房,2室,2厅,1卫,104.24,南北,高层(共26层),2012年建造,贻成豪庭,塘沽,工农村街,塘汉路789号,南北 满五年 ,120,11512
紧邻一中十一中十三小 经纬二期 位置好新小区 。,2室,2厅,1卫,87,南北,低层(共34层),2023年建造,经纬城市绿洲学府华庭,武清,豆张庄镇,新安路,南北 次新房 ,84,9656
小区出门地铁公园 H户型 业主诚心出售 大胆给价 随时看房,2室,2厅,1卫,95,南,高层(共11层),2010年建造,新尚园,津南,双港,微山南路 近景荔道,南 有电梯 近地铁 ,119.8,12611
禹州110就可有跃层170平含90平阁楼送露台,2室,2厅,0卫,88.24,南,高层(共26层),2015年建造,禹洲尊府,静海,静海镇,北华路 近春曦道,南 满五年 ,116,13146
金隅悦城秀悦园 近地铁 装修好 中间楼层采光好,2室,2厅,1卫,93.07,南北,中层(共11层),2011年建造,金隅悦城秀悦园,东丽,张贵庄街,跃进路,南北 近地铁 ,138,14828
（金地品质）中 层 全明户型真亮堂 楼下地铁公园 生活舒适,3室,2厅,1卫,98.78,南北,高层(共33层),2014年建造,金地艺华年盈翠名苑,津南,双港,津港高速,南北 有电梯 近地铁 绿化率高 ,136,13768
五大街。精装婚房两室万科物业。永旺商场正对过。137万急售。,2室,2厅,1卫,96,南,低层(共30层),2018年建造,万科金域蓝湾,开发区,第五大街,第五大街,南 满五年 近地铁 ,137,14271
宫前园  2室 户型好私产可贷款！！,2室,1厅,1卫,91.76,西南,高层(共6层),2001年建造,宫前园,河东,大直沽,大直沽前街 近宫前街,西南 满五年 近地铁 人气热搜 ,130,14168
出行方便 精装修 南北通透 楼龄新 购物方便 满五,2室,2厅,1卫,92,南北,高层(共28层),2014年建造,柴楼新庄园隆园,北辰,双街镇,顺境北路56号,南北 满五年 ,115,12500
福汇园 大两居 集中供暖 精装一天没住 家具家电全送 户型好,2室,1厅,1卫,93,南,高层(共17层),2012年建造,福汇园,大港,世纪大道,东环路479号,南 满五年 ,115,12366
   位 大地十二城一楼带院  南北通透两室出售,2室,2厅,1卫,85.19,南北,低层(共18层),2010年建造,枫桥园,西青,中北,汪庄村中街,南北 满五年 绿化率高 ,169,19839
金泽园|幸福道2室2厅1卫90.15平方米,2室,2厅,1卫,90.15,南,中层(共6层),2015年建造,金泽园,西青,大寺,幸福道,南 房东直卖 唯一住房 ,128,14199
中海公园城滟湖苑 得房好 小区绿化高 满二 中间楼层,3室,2厅,3卫,135,南北,共1层,2014年建造,中海公园城滟湖苑,津南,津南八里台,天嘉湖大道,南北 满二年 绿化率高 ,150,11112
河东区大直沽街东和家园2室1厅,2室,1厅,1卫,68.07,南,高层(共28层),2013年建造,东和家园,河东,大直沽,直沽街 近津塘村道,南 满二年 近地铁 ,135,19833
生态城起步区 季景华庭 通透俩室 120万配套齐全 价格可谈,2室,1厅,1卫,98,南北,高层(共17层),2013年建造,季景华庭,滨海新区,中新生态城,和旭路1060号,南北 满五年 车位充足 ,120,12245
枫丹天城 南向采光好 电梯房 商业配套成熟 房龄新 大两居,2室,2厅,1卫,82.71,南,低层(共18层),2016年建造,枫丹天城,武清,杨村街,雍阳西道 近翠源路,南 满五年 人气热搜 ,110,13300
蓝光雍锦香颂 精装可拎包入住 电梯房 满五   大两居,2室,2厅,1卫,98.96,南北,低层(共30层),2018年建造,蓝光雍锦香颂,津南,咸水沽,四里沽路,南北 房东直卖 满五年 ,115,11621
有电梯 中间楼层 大两居 精装修 满五 医疗配套成熟,2室,2厅,1卫,97.65,南北,中层(共28层),2016年建造,南益名士华庭海棠苑,塘沽,新河街,华庭路 近福州道,南北 房东直卖 满五年 ,142,14542
带电梯 近地铁 楼层好 精装可拎包入住 出行方便 刚需小三居,3室,2厅,1卫,93,南北,高层(共11层),2021年建造,贻成学府壹号,滨海新区,中新生态城,中天大道,南北 满二年 车位充足 多人关注 ,130,13979
香邑国际 满五 南北通透 刚需两居 小区新 医疗配套成熟,2室,2厅,1卫,94.68,南北,低层(共13层),2014年建造,香邑国际,东丽,万新街,成林道 近登州路,南北 满五年 近地铁 ,132,13942
南益名士华庭(一期) 近医院 楼层好 南向采光好 大两居,2室,1厅,1卫,94.78,南,中层(共26层),2016年建造,南益名士华庭(一期),塘沽,新河街,新河路,南 房东直卖 满五年 车位充足 ,118,12450
新上燕宇精装两室 私产房  不到顶 南北通透 急售,2室,1厅,2卫,92.37,南,高层(共6层),2003年建造,燕宇艺术家园,北辰,瑞景街,辰昌路 近龙泉道,南 满五年 近地铁 ,125,13533
朝南 带电梯 中间楼层采光好 小三房 商业配套齐全 楼龄新,3室,2厅,1卫,92,南,中层(共32层),2016年建造,融创中央学府(东区),津南,海河教育园区,新慧路54号,南 满五年 ,139,15109
满五   小三居 出行方便 精装可拎包入住 南向采光好,3室,2厅,1卫,99.89,南,低层(共33层),2014年建造,中建滨海壹号小区,塘沽,工农村街,威海路 近滨宇东道,南 满五年 ,125,12514
宝翠花都探景园 产权清晰 居住密度低 电梯房 高楼层视野好,3室,1厅,1卫,104.26,南北,高层(共11层),2008年建造,宝翠花都探景园,北辰,瑞景街,龙泉道,南北 有电梯 近地铁 ,147,14100
金谊花园 低楼层中户两室 价格可议装修保持的挺好 随时看房,2室,1厅,1卫,81.76,东,低层(共26层),2015年建造,金谊花园,西青,大寺,芦北路,东 满五年 ,72,8807
首创城明景苑 装修好 高楼层视野无遮挡 大两房 南北通透,2室,2厅,1卫,98.28,南北,高层(共28层),2017年建造,首创城明景苑,津南,辛庄,鑫怡路,南北 满五年 ,116,11804
香雍久和一中商务区 11中13小品质小区好楼层交通便利临近城,3室,2厅,1卫,100.19,南,高层(共18层),2022年建造,香雍玖和,武清,杨村街,光明道 近新兴路,南 满二年 绿化率高 ,125,12477
刚需两居 满五   近医院 交通便捷 临地铁 购物方便,2室,1厅,1卫,98,南北,中层(共6层),1999年建造,万隆花园,东丽,程林街,天山南路49号,南北 满五年 近地铁 ,139,14184
南北通透 医疗配套成熟 电梯房 大两居 中间好楼层 精装好房,2室,2厅,1卫,99.8,南北,中层(共6层),2004年建造,贻丰园,塘沽,向阳街,河北路2612号,南北 满五年 近地铁 ,119,11924
新出 商务区 观澜轩 精装修 小高层 前排可看紫云公园 急售,2室,2厅,2卫,89.78,南北,中层(共17层),2023年建造,万科滨海大都会观澜轩,滨海新区,滨海城区,旭升路,南北 满五年 车位充足 多人关注 ,176,19604
首创禧悦 近地铁 出行方便 车位充足 高楼层视野无遮挡,3室,2厅,2卫,100.4,南北,高层(共7层),2021年建造,首创禧悦,津南,辛庄,鑫怡路 近建明道,南北 满二年 车位充足 多人关注 ,117,11654
焕景园 三楼中间楼层 通透H户型 采光无遮挡非常好 看房随时,2室,1厅,1卫,94,南北,中层(共6层),2008年建造,宝翠花都沃克小镇,北辰,瑞景街,环瑞路,南北 满五年 近地铁 车位充足 ,151,16064
挥泪卖  海榕园电梯洋房  带阁楼 两室通厅 价格可以有钥匙,2室,1厅,1卫,96,南,高层(共8层),2018年建造,海榕园,大港,古林街,海景二路,南 满二年 ,127,13230
电梯房 满二   房龄新 朝南 高楼层视野无遮挡,3室,2厅,1卫,117,南,高层(共30层),2016年建造,经纬城市绿洲学府华庭,武清,豆张庄镇,新安路,南 满二年 ,116,9915
