待售房屋,室,厅,面积(平方米),楼层,小区名称,区,镇,道路,标签,价格,价格单位
太阳城橙翠园 3室2厅1卫 南北通透 精装修 电梯房,3,2,124,高层(共9层)                                                    ,太阳城橙翠园,河东,鲁山道,"凤山道,近鲁山道","邻地铁,配套齐全,精装修,",3500,元/月
凯德国贸 160平复式 复式 适合培训 音乐 舞蹈 健身,3,1,150,低层(共45层)                                                    ,凯德国贸,河西,大营门,南京路39号,"邻地铁,精装修,",6500,元/月
裕和家园 两室包物业取暖 拎包入住 随时看房,2,1,85,中层(共11层)                                                    ,裕和家园,宝坻,钰华街,环城东路,"配套齐全,精装修,南北通透,有阳台,",1100,元/月
月付可短租天津师范大学 天津理工大学 工业大学 姚村夜市,1,1,30,中层(共6层)                                                    ,姚村景福花园,西青,精武,工一号路,"押一付一,配套齐全,精装修,南北通透,",1100,元/月
乐安里 干净1室 包物业暖气 家电齐全 拎包入住 交通便利,1,1,33.24,共5层                                                    ,乐安里,红桥,铃铛阁街,芥园道,"邻地铁,配套齐全,精装修,",1500,元/月
整租  柳林街  秀峰里  1室1厅,1,1,37,高层(共6层)                                                    ,秀峰里小区,河西,陈塘庄,陵水道,"邻地铁,精装修,",1300,元/月
宾水东里 2室1厅1卫 南北通透 60平 精装修,2,1,60,共5层                                                    ,宾水东里,河西,天塔,"宾水道,近沿河路","邻地铁,配套齐全,精装修,",2600,元/月
和平里尊盛园 2室1厅1卫,2,1,89,高层(共28层)                                                    ,和平里尊盛园,和平,滨江道,南京路,"邻地铁,配套齐全,南北通透,",6300,元
金禧园 两室 出门地铁6号线 奥城对面直观水滴 室内干净,2,1,80,高层(共7层)                                                    ,金禧园小区(南开),南开,体育中心,红旗南路490号,"邻地铁,配套齐全,精装修,",2800,元/月
免中介！候台家园一室精装整租！可押一付一,1,1,45,中层(共6层)                                                    ,侯台家园,西青,侯台,楚雄西道,"押一付一,配套齐全,精装修,有阳台,",1400,元/月
急租！西关北里精装一居电梯房鼓楼西南角家电齐全随时看房,1,1,49,高层(共6层)                                                    ,西关北里,红桥,铃铛阁街,西关大街50号,"邻地铁,精装修,",2200,元/月
蓝岸森林 2室1厅1卫 1600.0元 精装修87.0平米,2,1,87.0,低层(共6层)                                                    ,蓝岸森林,北辰,北仓,京津路1号,"精装修,",1600,元/月
急！急！急！！真价格！随时看房 出门就是地铁站,1,1,32,高层(共6层)                                                    ,古芳里,河西,陈塘庄,大沽南路936号,"邻地铁,配套齐全,精装修,",1500,元/月
新科园  小区环境好 房子采光好 干净 价格可议,1,1,82,低层(共18层)                                                    ,天房意境,津南,双港,"新家园路,近景茗道","邻地铁,精装修,随时看房,",2300,元/月
新开河街 润泰园 1室1厅1卫 近地铁拎包入住,1,1,56.18,中层(共7层)                                                    ,润泰园,河北,新开河街,天泰路52号,,1700,元/月
可短租 可月付 工业大学 师范大学 三号线大学城 印象城,1,1,30,低层(共6层)                                                    ,姚村景福花园,西青,精武,工一号路,"押一付一,配套齐全,精装修,南北通透,",1100,元/月
价格便宜可议房东自己住的房子采光好精装修随时看房,3,2,92.0,中层(共7层)                                                    ,新城樾风华碧樾园,北辰,小淀,小淀路,"配套齐全,精装修,南北通透,有阳台,",1800,元/月
领世郡 1室1厅 50.0平米 有钥匙,1,1,50,中层(共9层)                                                    ,首创昆兰苑(商住楼),津南,双港,领世路,"邻地铁,精装修,",1400,元/月
华江里   有钥匙  精装两室   家具家电齐全 拎包入住,2,1,60,中层(共6层)                                                    ,华江里,河西,小海地,辰水道1号,"邻地铁,配套齐全,精装修,",2000,元/月
精装公寓 loft跃层户型 下楼公交地铁 中环线上 高档小区,2,1,58.98,中层(共21层)                                                    ,亿城堂庭(商住楼),红桥,丁字沽街,光荣道221号,"邻地铁,精装修,",2400,元/月
西沽街 龙禧园 1室1厅1卫 4楼 暖气热 室内环境好,1,1,43,中层(共6层)                                                    ,龙禧园,红桥,西沽街,咸阳路,"配套齐全,精装修,有阳台,",1350,元/月
颐景公寓 1室1厅1卫 34平 电梯房 精装修,1,1,34.18,高层(共9层)                                                    ,颐景公寓,东丽,空港经济区,中心大道66号,"配套齐全,精装修,南北通透,有阳台,",1800,元/月
年底特惠！爱琴海楼上精装复式阳面通透边户商住好房！两室两卫,2,2,60,中层(共20层)                                                    ,红星大厦,河东,上杭路,琳科西路,"邻地铁,配套齐全,精装修,",3600,元/月
花香漫城 2室1厅1卫 1850.0元 电梯房 精装修,2,1,76.0,高层(共18层)                                                    ,花香漫城,北辰,宜兴埠,高新大道33号,"邻地铁,精装修,",1850,元/月
州河湾南园 60平 两居 家电齐全 拎包入住,2,1,60,高层(共17层)                                                    ,州河湾南园(五期),蓟州,渔阳镇,香林路,"配套齐全,南北通透,有阳台,随时看房,",900,元/月
丽霞里 1室1厅1卫 精装修 电梯房 配套齐全,1,1,49.75,高层(共22层)                                                    ,丽霞里,东丽,无瑕街,银河大道1号,"邻地铁,配套齐全,精装修,",1000,元/月
三号线 吴家窑 马场道 儿童医院 四楼一室 可押一付一,1,1,40,中层(共6层)                                                    ,马场街先进里社区,河西,马场道,"吴家窑大街,近贵州路","邻地铁,押一付一,配套齐全,",2000,元/月
海河华鼎精装两室两厅两卫家具家电全齐干净整洁拎包住视野看海河,2,2,106,中层(共28层)                                                    ,海河华鼎,红桥,大胡同街,张自忠路1号,"邻地铁,配套齐全,精装修,",4000,元/月
中山北里 可拎包入住 无中介费 可月付 豪华装修 南北通透,1,1,50,高层(共6层)                                                    ,中山北里,河北,建昌道街,长青路,"邻地铁,押一付一,配套齐全,",2490,元/月
蓝岸森林 2室1厅1卫 2200.0元 精装修73.45平米,2,1,73.45,低层(共6层)                                                    ,蓝岸森林,北辰,北仓,京津路1号,"精装修,",2200,元/月
房子豪华装修可以短租可以长租 随时也都可以看房 出租！！,2,1,58,高层(共7层)                                                    ,凤园北里,南开,王顶堤,园荫道6号,"邻地铁,配套齐全,精装修,",3000,元/月
近天津站  巨福新园 整租两室 随时看房,2,2,103,中层(共6层)                                                    ,巨福新园,河东,春华街,新开路136号,"邻地铁,配套齐全,精装修,",3500,元/月
隆盛花园 精装一室出租 采光好 干净 家具家电齐全,1,1,61,低层(共26层)                                                    ,隆盛花园,塘沽,杭州道街,车站北路5号,"邻地铁,配套齐全,精装修,",1800,元/月
天赐园精装三室，宜居住陪读，南北通透,3,2,170,高层(共22层)                                                    ,天赐园(和平),和平,南营门,新兴路1号,"邻地铁,配套齐全,精装修,",9999,元/月
北塘洋房 龙湖九里晴川 大三室两卫 家具家电齐全 有钥匙,3,2,125,高层(共7层)                                                    ,龙湖九里晴川天麟苑,滨海新区,中新生态城,抚仙湖路,"配套齐全,精装修,南北通透,有阳台,",2500,元/月
东北角艺术公寓 1室1厅1卫 47平 精装修 电梯房,1,1,47.51,低层(共32层)                                                    ,东北角艺术公寓,南开,鼓楼,北城街,"邻地铁,配套齐全,精装修,",2300,元/月
凌奥附近  出门地铁站  物业直租 可月付 可养宠物,1,1,56,低层(共30层)                                                    ,悦雅国际,西青,李七庄,雅乐道,"邻地铁,押一付一,配套齐全,",1900,元/月
万科城市之光(宝坻) 3室1厅1卫 95平 精装修 电梯房,3,1,95,高层(共11层)                                                    ,万科城市之光(宝坻),宝坻,海滨街,"南城东路,近林海路","配套齐全,精装修,有阳台,随时看房,",1400,元/月
新立镇 3室1厅1卫,3,1,92.23,高层(共15层)                                                    ,新立镇,东丽,,,"邻地铁,配套齐全,精装修,南北通透,",2400,元
可短租 可月付 六号线景荔道 天津大学 南开大学 联东U谷,1,1,30,中层(共16层)                                                    ,欣悦佳园,津南,双港,"景茗道,近微山南路","邻地铁,押一付一,配套齐全,",1200,元/月
煦园新居 2室1厅1卫 55平 电梯房 精装修,2,1,55.74,中层(共23层)                                                    ,煦园新居,南开,鼓楼,城厢东路56号,"邻地铁,配套齐全,精装修,",3100,元/月
大唐盛世唐玺雅苑 3室2厅1卫 1500.0元 电梯房,3,2,96.0,低层(共28层)                                                    ,大唐盛世唐玺雅苑,津南,津南八里台,天嘉湖大道,"精装修,",1500,元/月
霞光里(北辰) 2室1厅1卫 1500.0元 精装修,2,1,81.88,中层(共7层)                                                    ,霞光里(北辰),北辰,果园新村,果园北道3号,"精装修,",1500,元/月
